# Last Updated: February 13, 2026
Peptide,Strength,Price,Vendor,Discount Code,PRC Product,Price Per mg
5 Amino 1mq,5mg,34.99,FelixChem,,No,7.00
5 Amino 1mq,20mg,40.00,AMP,Kikiriki,No,2.00
5 Amino 1mq,10mg,50.00,Instant,Kikiriki,No,5.00
5 Amino 1mq,50mg,68.00,Authentic Aminos,Kikiriki,No,1.36
Adamax,10mg,65.00,Tydes,Kikiriki,No,6.50
AOD 9604,5mg,33.00,Biopeptide,Kikiriki,No,6.60
AOD 9604,2mg,35.00,AMP,Kikiriki,No,17.50
AOD 9604,10mg,103.48,BC9,Kikiriki,No,10.35
Ara 290,10mg,35.00,AIO,Kikiriki,No,3.50
Ara 290,15mg,66.50,Biolongevity Labs,Kikiriki,No,4.43
Ara 290,16mg,103.48,BC9,Kikiriki,No,6.47
B12,10ml,24.95,Strate,Kikiriki,No,
Botulinum Toxin,200u,170.00,PRC,,Yes,
BPC 157,5mg,29.00,Biopeptide,,No,5.80
BPC 157,10mg,40.00,AMP,Kikiriki,No,4.00
BPC157/TB500,5mg/5mg,44.00,AIO,Kikiriki,No,8.80
BPC157/TB500,10mg/10mg,51.00,TruLab,Kikiriki,No,5.10
Bronchogen,20mg,48.98,Biolongevity Labs,Kikiriki,No,2.45
Cagri/Reta,12.5mg/2.5mg,120.00,EZ,,No,9.60
Cagri/Sema,5mg/5mg,102.00,Penguin,Kikiriki,No,20.40
Cagrilintide,5mg,40.00,Synagenics,Kikiriki,No,8.00
Cagrilintide,10mg,90.00,Instant,Kikiriki,No,9.00
Cardiogen,20mg,48.98,Biolongevity Labs,Kikiriki,No,2.45
Cartalax,20mg,52.00,AIO,,No,2.60
Cerebrolysin,60mg,23.00,PRC,,Yes,0.38
Cerebrolysin,60mg,39.00,Authentic Aminos,Kikiriki,No,0.65
CJC 1295 no DAC,2mg,24.00,Authentic Aminos,Kikiriki,No,12.00
CJC 1295 no DAC,5mg,30.00,Biopeptide,Kikiriki,No,6.00
CJC 1295 no DAC / Ipamorelin,5mg/5mg,34.40,AIO,Kikiriki,No,6.88
Cortagen,20mg,48.98,Biolongevity Labs,Kikiriki,No,2.45
Dermorphin,5mg,22.00,PRC,,Yes,4.40
DSIP,5mg,24.00,AIO,Kikiriki,No,4.80
DSIP,10mg,49.95,Strate,Kikiriki,No,5.00
DSIP,15mg,89.99,Biopeptide,Kikiriki,No,6.00
Epithalon,10mg,25.60,AIO,Kikiriki,No,2.56
Epithalon,50mg,129.99,Felix Chem,,No,2.60
Follistatin,10mg,559.30,Biolongevity Labs,Kikiriki,No,55.93
FOX 04 DRI,10mg,140.00,AIO,,No,14.00
GHK - CU,100mg,32.00,Synagenics,Kikiriki,No,0.32
GHK - CU,50mg,35.00,AMP,Kikiriki,No,0.70
GHRP-6,5mg,18.99,Elev8,Kikiriki,No,3.80
GLOW,70mg,55.00,Synagenics,Kikiriki,No,0.79
GLOW,80mg,79.00,RetaOne,,No,0.99
Glutathione,1500mg,40.00,Synagenics,Kikiriki,No,0.03
Glutathione,600mg,47.00,Penguin,Kikiriki,No,0.08
Glutathione,1200mg,56.00,AIO,Kikiriki,No,0.05
HCG,5000iu,39.99,Ignition,,No,
HCG,10000iu,55.00,Royal,Kikiriki,No,
Hexarelin,5mg,44.99,TCore,Kikiriki,No,9.00
Hexarelin,6mg,45.00,Tydes,Kikiriki,No,7.50
HGH 191,15iu,54.00,Penguin,Kikiriki,No,
HGH 191,36iu,107.00,Penguin,Kikiriki,No,
IGF-1 LR3,1mg,46.40,AIO,Kikiriki,No,46.40
Ipamorelin,5mg,24.00,AIO,Kikiriki,No,4.80
Ipamorelin,10mg,40.00,EZ,,No,4.00
Kisspeptin,10mg,35.20,AIO,Kikiriki,No,3.52
Kisspeptin,5mg,52.00,Penguin,Kikiriki,No,10.40
KLOTHO,10mcg,559.30,Biolongevity Labs,Kikiriki,No,55930.00
"KLOW (TB-500, BPC-157, KPV, GHK-Cu)",80mg,90.00,Royal,Kikiriki,No,1.12
KPV,10mg,32.00,Synagenics,Kikiriki,No,3.20
KPV,5mg,54.99,SportsTech,Kikiriki,No,11.00
L-Carnitine,500mg/10ml,24.99,Strate,Kikiriki,No,0.05
L-Carnitine,600mg/ml,45.00,Penguin,Kikiriki,No,0.07
L-Carnitine,500mg/20ml,51.20,AIO,Kikiriki,No,0.10
L-Carnitine,500mg/30ml,59.99,Strate,Kikiriki,No,0.12
L-Carnitine,500mg/50ml,99.99,Strate,Kikiriki,No,0.20
Laennec Ampules,1 unit,425.00,PRC,,Yes,
Lemon Bottle,1 unit,65.00,PRC,,Yes,
"Lipo B (L-Carnitine, L-Arginine, Methione, Inositol, Choline, B6, B5))",10ml,55.00,Synagenics,Kikiriki,No,
